food_number,food_name,types_cooking,ingredient_main,ingredient_sub,seasoning,national_classification,kcal
867,두부스테이크,부침,"다진쇠고기 90g, 두부 1모",파슬리 약간,"소금 약간, 후춧가루 약간",퓨전,188kcal
868,산적치즈구이,부침,"어묵 50g, 햄 50g, 게맛살 50g, 치즈(슬라이스) 4장","실파 30g, 꼬치 8개, 식용유 약간",,퓨전,296kcal
869,연근카레전,부침,연근 20cm,"밀가루 3큰술, 물 3큰술, 카레가루 1큰술, 기름(부침용) 약간",,퓨전,110kcal
870,치즈알쌈,부침,"계란 8개, 치즈(피자) 40g","양파 1개, 베이컨 100g, 샐러리 50g, 당근 50g, 녹말가루 2TS, 식용유 약간","케첩 2TS, 소금 약간, 흰후춧가루 약간",퓨전,288kcal
871,치즈파전,부침,"실파 100g, 새우(칵테일) 10g, 홍합살 10g, 밀가루 1/4컵, 치즈 적당량","굴 10g, 조갯살 10g, 찹쌀가루 3/4컵, 계란 1개, 식용유 적당량","소금 약간, 홍고추 2개, 물 적당량",퓨전,257kcal
872,치즈피망전,부침,"피망 4개, 모짜렐라치즈 적당량","다진쇠고기 100g, 두부 1/2모, 양파 1/4개, 당근 20g, 청양고추 2개, 밀가루 적당량, 계란 1개, 식용유 약간","소금 약간, 후춧가루 약간",퓨전,275kcal
873,꼬마버거,"샌드위치,햄버거","돼지고기 20g, 모닝빵 4개, 샐러드 약간","양파 약간, 크림치즈 약간, 슬라이스치즈 4장, 토마토 1개","소금 약간, 후춧가루(가루) 약간, 다진파 약간, 다진마늘 약간, 굴소스 약간",퓨전,321kcal
874,밥샌드위치,"샌드위치,햄버거",밥(찬것) 3공기,"감자 1개, 당근 2/3개, 프랑크소시지 3개, 오이 1/2개, 양배추 6장, 양상추 6장, 계란 3개, 김치 150g, 밀가루 1/2컵, 식용유 500ml","빵가루 1컵, 마요네즈 1큰술, 머스타드 1작은술, 토마토케찹 약간, 소금 약간, 후춧가루 약간",퓨전,330kcal
875,새우라이스버거,"샌드위치,햄버거","[라이스버거] 찬밥 2공기, 계란노른자 1개, 빵가루 20g, 소금 약간, 후춧가루 약간, [새우패티] 새우살 100g, 양파 1/3개, 샐러리 1대, 빵가루 30g, 소금 약간, 후춧가루 약간","양상추 2장, 토마토 1/2개, 슬라이스치즈 2장, 오이피클 30g","굴소스 1큰술, 물엿 1큰술, 우스터소스 1큰술, 물 1/2컵, 물녹말 1큰술",퓨전,480kcal
876,감자피자구이,피자,"감자 4개, 오징어 1마리","양파 1개, 당근 1/3개, 피망 2개","토마토케첩 4큰술, 간장 2큰술, 후춧가루 약간, 칠리소스 약간",퓨전,268kcal
877,김치계란피자,피자,"김치 100g, 계란 2개","양파 1/2개, 피망 1/2개, 햄 20g, 피자치즈 적당량, 케첩 약간",,퓨전,320kcal
878,김치치킨도리아,볶음,"닭고기(살) 50g, 밥 1공기","양파 1/2개, 옥수수 1/4개, 양송이버섯 2개, 호박 20g, 햄 30g, 토마토케첩 2큰술, 치즈(피자용) 100g","밀가루 3큰술, 버터 2큰술, 닭육수 1컵, 생크림 2큰술, 소금 약간, 후춧가루 약간",퓨전,662kcal
879,대파 파프리카굴소스볶음,볶음,"대파 2대, 노란파프리카 1개, 주황파프리카 1개","굴소스 2큰술, 기름 약간",,퓨전,61kcal
880,돈육불고기,볶음,돼지고기(목살) 600g,"건포도 30g, 양파 1/2개, 대파 1뿌리","청주 2큰술, 후춧가루 약간, 생강즙 2큰술, 간장 2큰술, 두반장 2큰술, 다진파 1큰술, 다진마늘 1큰술, 설탕 1/2큰술, 깨소금 1큰술, 참기름 2큰술, 식용유 2큰술",퓨전,225kcal
881,두부케첩볶음,볶음,"두부 1/4모, 비엔나소시지 8개, 표고버섯(마른 것) 1장","양파 50g, 피망 1/4개, 식용유 약간","토마토케첩 2큰술, 설탕 1작은술",퓨전,154kcal
882,삶은무해산물볶음,볶음,"새우살 50g, 조갯살 50g, 오징어 50g, 무 1개","양파 1/4개, 피망 1/4개, 홍고추 1/2개","다시용멸치 한줌, 다시마 10 X 10cm 1장, 간장 3큰술, 굴소스 2큰술, 다진파 1큰술, 올리브오일 약간",퓨전,172kcal
883,엔다이브 위의 쇠고기볶음,볶음,"쇠고기 50g, 앤다이브 6잎","청피망 1/2개, 홍피망 1/2개, 양파 1/2개","올리브오일 1큰술, 굴소스 1큰술, [양념장] 올리브오일 1큰술, 간장 1큰술, 설탕 2작은술, 다진마늘 1작은술, 후춧가루 약간",퓨전,378kcal
884,피자떡볶이,볶음,"햄 100g, 떡볶이떡 150g","어묵 2장, 피망 1/3개, 피자치즈 약간, 양파 1/3개","고추장 3큰술, 고춧가루 1작은술, 물엿 1큰술, 꿀 1작은술, 다진마늘 1큰술, 다시마 약간, 국물용멸치 15g",퓨전,255kcal
885,해물채소볶음,볶음,"새우 30g, 바지락 50g, 파프리카 1/2개, 청경채 2개","조갯살 30g, 콜리플라워 30g, 가지 1/2개","굴소스 3큰술, 참기름 약간, 다진마늘 약간",퓨전,132kcal
886,햄마늘볶음,볶음,"햄 50g, 마늘 5톨","양송이버섯 3개, 표고버섯 2개, 청피망 1/3개, 파프리카 1/3개, 식용유 약간","굴소스 1큰술, 참기름 약간",퓨전,180kcal
887,계란말이주먹밥,"밥,죽,스프","밥 2공기, 계란 4개","말린 표고버섯 2개, 당근 30g, 미나리 10줄기, 소금 약간, 식용유 약간, 오이 1/2개, 다시마 1조각","식초(배합초) 1큰술, 설탕 1큰술, 소금 1/2작은술",한식,382kcal
888,골뱅이덮밥,"밥,죽,스프","밥 4공기, 골뱅이 200g","오이 1개, 당근 1/2개, 양파 1/2개, 깻잎 10장","고추장 2큰술, 고춧가루 1큰술, 설탕 2큰술, 간장 1/2큰술, 식초 1큰술, 마늘 1/2큰술, 깨소금 1/2큰술, 참기름 1큰술, 후춧가루 1/4작은술",한식,360kcal
889,굴무밥,"밥,죽,스프","굴 100g, 쌀 2컵, 무 150g, 물 약간, 다시마(5cm x 5cm) 1장","간장 4큰술, 설탕 1큰술, 송송 썬실파 4큰술, 다진마늘 1큰술, 생강즙 1/2작은술, 통깨 1큰술, 참기름 1큰술, 고춧가루 1/2큰술",,한식,319kcal
890,김밥계란말이,"밥,죽,스프","밥 2공기, 햄 100g, 김 6장","계란 2개, 식용유 약간","설탕 1큰술, 참기름 2작은술, 식초 2작은술, 소금 1/2작은술",한식,357kcal
891,김치쌈밥,"밥,죽,스프","밥 2공기, 김칫잎 6장","소금 1작은술, 참기름 1큰술, 설탕 1작은술, 후춧가루 약간",,한식,340kcal
892,김치주먹밥,"밥,죽,스프","김치 1/2포기, 밥 2공기, 다진쇠고기(사태) 100g","오이 1/2개, 당근 1/2개, 단무지 약간, 미나리 30g, 새우 10마리","청주 1큰술, 간장 1큰술, 설탕 1큰술, 다진마늘 1/2작은술, 다진파 1작은술, 후춧가루 약간, 참기름 약간",한식,380kcal
893,김치채소쌈,"밥,죽,스프","김치잎 5장, 깻잎 4장, 양배추 4장, 근대잎 4장, 밥 2공기","쇠고기(우둔) 150g, 식용유 약간","소금 약간, 후춧가루 약간, 간장 1큰술, 다진파 1큰술, 설탕 1/2큰술, 마늘 1/2큰술, 참기름 1작은술, 깨소금 1작은술",한식,330kcal
894,나물비빔밥,"밥,죽,스프","쌀 4컵, 안심 200g, 콩나물 20g, 청포묵 1/2모, 미나리 20g, 숙주 20g, 도라지 20g, 고사리 20g, 계란 1개","고추장 1/2큰술, 양지머리 100g","소금 약간, 국간장 약간, 다진파 약간, 다진마늘 약간, 참기름 약간, 설탕 약간",한식,580kcal
895,닭고기콩나물덮밥,"밥,죽,스프","닭 한마리, 콩나물 300g, 밥 4공기","오이 1개, 김치 200g, 마늘 3쪽, 실파 약간","다진마늘 1큰술, 소금 약간, 후춧가루 약간, 고춧가루 2큰술, 파 2큰술, 육수 3큰술",한식,400kcal
896,대나무쌈밥,"밥,죽,스프","닭 20g, 찹쌀 30g, 쌀 90g, 대나무잎 4장","밤 2개, 대추 2개","굴소스 약간, 소금 약간",한식,325kcal
897,모듬쌈밥,"밥,죽,스프","케일 약간, 치커리 약간, 청경채 약간, 겨자잎 약간, 밥 2공기","소금 약간, 흑임자 약간, 참기름 약간","참기름 1/2큰술, 건새우가루 1큰술, 된장 3큰술, 고추장 1큰술, 청고추 1/2개, 홍고추 1/2개, 설탕 1/2큰술, 다진마늘 1/2큰술",한식,360kcal
898,별미밥,"밥,죽,스프","쇠고기(우둔) 150g, 콩나물 100g, 밥 4공기","미나리 50g, 당근 50g, 유부 5장","간장 2큰술, 다진파 1큰술, 고춧가루 1작은술, 다진마늘 1작은술, 깨소금 1작은술, 참기름 1큰술, 후춧가루 약간",한식,325kcal
899,북어국밥,"밥,죽,스프","밥 3공기, 북어 2마리","물 12컵, 무순 40g, 무 1/4 토막, 쇠고기 100g, 대파 1뿌리, 홍고추 1개, 팽이버섯 100g, 물 11컵","참기름 1큰술, 고춧가루 1큰술, 다진마늘 1큰술, 간장 약간, 소금 약간, 후춧가루 약간",한식,120kcal
900,삼색주먹밥,"밥,죽,스프",밥 2공기,"생선 소보로, 파슬리가루 약간, 계란노른자 1개","식초 1큰술, 설탕 1큰술, 소금 1/2작은술, 다시마 1조각",한식,460kcal
901,상추겉절이비빔밥,"밥,죽,스프","밥 4공기, 상추 3잎","오이 1/3개, 대파 약간, 도라지 20g, 고사리 20g, 당근 1/4개","간장 2큰술, 식초 약간, 고춧가루 1작은술, 설탕 2작은술, 참기름 약간, 소금 약간, 다진파 약간, 다진마늘 약간",한식,395kcal
902,열무비빔밥,"밥,죽,스프","밥 한공기, 열무김치 300g, 쇠고기 150g","간장 1큰술, 설탕 1/2큰술, 다진파 2작은술, 다진마늘 1작은술, 참기름 1작은술","고추장 3큰술, 설탕 1큰술, 마늘 1큰술, 참기름 1큰술, 열무김치(국물) 3큰술",한식,375kcal
903,영양돌솥밥,"밥,죽,스프","멥쌀 2컵, 찹쌀 1/2컵","밤 10톨, 은행 10알, 대추 10알, 잣 20g, 송이버섯 2개, 물 적당량",,한식,384kcal
904,영양채소밥,"밥,죽,스프","쌀 1컵, 밤 2개, 고구마 1/3개, 은행 6알, 대추 4알",다시물(밥물) 1컵,"참기름 약간, 간장 2컵, 다시물(양념장) 1큰술, 다진파 약간, 다진마늘 약간, 깨소금 약간",한식,375kcal
905,오곡밥,"밥,죽,스프","멥쌀 1컵, 찹쌀 2컵","수수 1컵, 차조 1컵, 콩 1/2컵, 팥 1/2컵",소금 약간,한식,338kcal
906,오징어덮밥,"밥,죽,스프","밥 2공기, 오징어 1마리","양파 2/3개, 피망 1/2개, 실파 10g, 식용유 약간","물 1/3컵, 고추장 1큰술, 두반장 1큰술, 설탕 약간, 깨소금 약간, 소금 약간, 후춧가루 약간",한식,445kcal
907,자라죽,"밥,죽,스프","흰쌀 200g, 자라 1마리","파 30g, 참기름 10g, 깨소금 약간",,한식,138kcal
908,잣죽,"밥,죽,스프","불린쌀 1컵, 잣 1/2컵","물 4컵, 대추 1개",소금 약간,한식,289kcal
909,찬밥맛탕,"밥,죽,스프","찬밥 1공기, 옥수수(통조림) 200g","계란 1/2개, 녹말 6큰술, 식용유(튀김용) 3컵","소금 1/2작은술, 물 1큰술, 설탕 1/2컵",한식,280kcal
910,찰밥,"밥,죽,스프","찹쌀 2컵, 팥 2/3컵","대추 5알, 밤 5톨",소금 1/2작은술,한식,336kcal
911,충무김밥,"밥,죽,스프","김 2장, 오징어 1/2마리, 무 30g, 고춧가루 3큰술, 밥 2공기","설탕 2큰술, 식초 4큰술, 까나리액젓 1큰술, 참기름 약간, 깨소금 약간, 다진파 약간, 다진마늘 약간",,한식,450kcal
912,콩나물버섯덮밥,"밥,죽,스프","밥 2인분, 콩나물 100g, 쇠고기 50g, 느타리버섯 50g","양파 1개, 당근 20g, 실파 2뿌리, 녹말 약간","멸칫국물 1컵, 간장 1큰술, 다진마늘 1/2큰술, 깨소금 약간, 참기름 약간, 소금 약간, 후춧가루 약간, 피쉬소스(간장) 약간",한식,232kcal
913,콩나물비빔밥,"밥,죽,스프","밥 60g, 보리 10g, 콩나물 40g, 오이 20g, 다진쇠고기 30g",당근 15g,소금 1큰술,한식,385kcal
914,해물볶음밥,"밥,죽,스프","밥 1공기, 오징어 1/4마리, 새우 20g, 라유(중국식 고춧기름) 약간, 홍고추 1개","당근 15g, 양파 15g, 표고버섯 2장, 청고추 1개","고춧기름 1큰술, 소금 약간, 후춧가루 약간",한식,365kcal
915,해물볶음밥,"밥,죽,스프","새우 30g, 오징어 50g, 바지락 30g, 밥 2공기","파프리카 1/4개, 팽이버섯 약간, 날치알 약간, 파프리카 1/4개","청주 2큰술, 소금 약간, 후춧가루 약간, 굴소스 3큰술, 참기름 약간",한식,362kcal
916,호박죽,"밥,죽,스프","청동호박 1/2개, 찹쌀 2컵",팥 1컵,"물 10컵, 설탕 약간, 소금 약간",한식,115kcal
917,흑미영양솥밥,"밥,죽,스프","멥쌀 1컵, 찹쌀 1/2컵, 흑미 2큰술","밤 2개, 대추 2개, 은행 2개, 수삼 1뿌리, 잣 약간, 식용유 약간",,한식,235kcal
918,흑임자죽,"밥,죽,스프","쌀 1컵, 흑임자 1/2컵","물 6컵, 소금 약간, 설탕 약간",,한식,113kcal
919,개장국,국,"개고기 800g, 된장 2큰술, 토란(줄기) 200g","물 8컵, 대파 5뿌리, 미나리 80g, 들깻잎 300g, 들깨가루 약간","생강 1쪽, 소금 약간, 국간장 1큰술, 다진파(다진것) 2큰술, 다진마늘(다진것) 1큰술, 고춧가루 1큰술, 후춧가루 약간",한식,320kcal
920,곰탕,국,"쇠고기(양지) 400g, 양 600g, 무 400g","대파 2뿌리, 마늘 8쪽, 국수 100g","국간장 4큰술, 소금 약간, 후춧가루 약간, 다진파 1큰술, 다진마늘 1큰술, 진간장 4큰술, 참기름 약간",한식,360kcal
921,냉면육수,국,쇠고기(양지머리) 400g,"물 10컵, 무 50g, 양파 1/2개, 대파 1뿌리, 마늘 약간","생강 1쪽, 소금 약간, 간장 약간",한식,410kcal
922,대구지리,국,대구 1마리,"두부 1/2모, 배춧잎 4장, 대파 1뿌리, 미나리 약간, 멸치 8마리, 레몬 약간","식초 1/2컵, 진간장 2큰술, 레몬즙 2큰술",한식,168kcal
923,대구탕,국,"대구 1/2마리, 무 30g, 콩나물 25g, 홍고추 1개, 청고추 1개, 미나리 20g",팽이버섯 20g,"고춧가루 2큰술, 고추장 1큰술, 소금 약간, 후춧가루 약간, 미림 약간",한식,170kcal
924,맑은떡국,국,떡국떡 2컵,"다시마(10cm x 10cm) 1장, 다진마늘 약간, 물 7컵, 대파 1/4뿌리, 말린표고버섯 3장, 계란 1개","간장 약간, 소금 약간",한식,345kcal
925,미역국,국,불린미역 4컵,"물 20컵, 쇠고기 150g","다진마늘 1큰술, 참기름 약간, 국간장 3~4큰술",한식,95kcal
926,미역완자국,국,"불린미역 200g, 찹쌀가루 1컵","쇠고기(우둔) 80g, 물 10컵","다진마늘 1큰술, 국간장 1큰술, 참기름 2작은술, 소금 약간",한식,150kcal
927,사골우거지탕,국,"사골 300g, 쇠고기(사태) 200g, 우거지 200g, 대파 1뿌리",홍고추 1개,"된장 2큰술, 다진마늘 2큰술, 고춧가루 약간",한식,156kcal
928,사골탕,국,"사골 500g, 쇠고기(양지) 200g","물 20컵, 무 1/4개, 대파 1뿌리, 마늘 3쪽, 생강 1쪽, 후춧가루 약간","소금 약간, 진간장 1큰술, 다진파 1큰술, 다진마늘 1/2큰술",한식,400kcal
929,삼계탕,국,닭고기(영계) 2마리,"찹쌀 1/2컵, 마늘 4쪽, 대추 4개, 생강 1쪽, 물 8컵","수삼 2뿌리, 대파 1뿌리, 소금 약간, 후춧가루 약간",한식,565kcal
930,생태국,국,생태 1마리,"미나리 50g, 콩나물 50g, 무 1/4개, 홍고추 1개, 쌀뜨물 10컵","마늘 2쪽, 소금 약간, 후춧가루 약간",한식,110kcal
931,설렁탕,국,"소(잡뼈) 300g, 사골 1개, 도가니 1개, 양지머리 600g","파 1뿌리, 마늘 1통, 밀국수 100g, 물 20컵","소금 약간, 후춧가루 약간",한식,507kcal
932,쇠고기무국,국,"쇠고기(양지) 200g, 무 200g","물 6컵, 대파 1대, 마늘 2쪽, 실파 4뿌리","국간장 2작은술, 진간장 1큰술, 다진파 1큰술, 다진마늘 1/2큰술, 참기름 1작은술, 후춧가루 약간, 소금 약간",한식,98kcal
933,어묵꼬치,국,"무 50g, 어묵 100g","계란 1개, 물 4C","멸치 100g, 다시마 1장, 간장 3Ts, 청주 2Ts, 겨자가루 1Ts, 소금 약간",한식,197kcal
934,육개장,국,"쇠고기(사태) 300g, 숙주 60g, 고사리 50g","대파 2뿌리, 식용유 약간","다진마늘 2큰술, 깨소금 1큰술, 참기름 1큰술, 국간장 3큰술, 고춧가루 2큰술",한식,164kcal
935,초교탕,국,닭 1/2마리,"물 6컵, 도라지 50g, 말린표고버섯 2장, 미나리 30g, 밀가루 1과1/2큰술, 계란 1개, 쇠고기(우둔) 150g","대파 1뿌리, 마늘 3쪽, 생강 1쪽, 소금 약간, 참기름 약간",한식,398kcal
936,토란곰탕,국,"토란 300g, 쇠고기(사태) 200g, 무 200g","다시마 15cm, 대파 1/2뿌리","국간장 1큰술, 다진마늘 1큰술, 후춧가루 약간, 참기름 약간, 소금 약간",한식,120kcal
937,홍합미역국,국,"미역 150g, 홍합 10개, 참기름 1큰술",물 3큰술,"소금 1작은술, 간장 3큰술, 후춧가루 1/4작은술",한식,80kcal
938,홍합탕,국,"홍합 400g, 대파 1/2뿌리, 홍고추 1개","실파 1뿌리, 물 약간","다진마늘 1작은술, 소금 약간",한식,75kcal
939,가자미조림,조림,가자미 4마리,"멸치다시물 2컵, 마늘 2톨","청주 1/2컵, 간장 1/3컵, 맛술 3큰술",한식,130kcal
940,명태포조림,조림,명태 1마리,"깻잎 5장, 대파 1/4뿌리","고춧가루 2큰술, 다진파 1큰술, 청주 1큰술, 간장 2큰술, 다진마늘 2큰술, 설탕 1작은술, 참기름 1작은술, 깨소금 약간, 물 1/4컵",한식,250kcal
941,붕어조림,조림,"붕어 2마리, 북어 1/2마리, 감자 1개","무 150g, 양파 1/2개, 물 1컵","양파 1/2개, 청고추 2개, 홍고추 2개, 대파 1뿌리, 마늘 5쪽, 고추장 3큰술, 고춧가루 1큰술, 참기름 1큰술, 생강즙 1작은술, 소금 약간, 후춧가루 약간",한식,400kcal
942,사태장육,조림,"쇠고기(사태) 600g, 고추기름 1큰술","육수 1컵, 간장 2큰술, 올리고당 1큰술, 맛술 1큰술","팔각 5개, 생강 2개, 대파 1/2뿌리, 계란 3개, 레몬 1개, 토마토케첩 2~3큰술, 올리고당 1작은술, 소금 약간, 겨자 1큰술, 식초 1큰술",한식,269kcal
943,생선조림,조림,"조기 2마리, 홍고추 1/2개","무 1/4개, 파 2뿌리","청정원어장 4큰술, 고춧가루 4큰술, 간장 1큰술, 다진마늘 2큰술, 다진생강 1큰술, 청고추 1/2개",한식,240kcal
944,쇠고기장조림,조림,"쇠고기(사태) 400g, 계란 4개","대파 1/2뿌리, 마늘 1통, 생강 1쪽, 물 4컵, 홍고추 2개","진간장 1컵, 설탕 1/4컵, 참기름 약간",한식,146kcal
945,어묵닭고기조림,조림,"어묵 2개, 닭고기(안심) 100g, 표고버섯 1장","오이 1/4개, 소금 약간, 녹말 약간","후춧가루 약간, 간장 2큰술, 청주 1큰술, 물 1컵",한식,265kcal
946,연근조림,조림,연근 300g,"식용유 2큰술, 통깨 1작은술","진간장 3큰술, 설탕 1큰술, 청주 1큰술, 물 5큰술",한식,66kcal
947,장똑똑이,조림,쇠고기(우둔살) 300g,"대파 1뿌리, 마늘 2쪽, 생강 1쪽, 깨소금 약간","진간장 3큰술, 설탕 2큰술, 참기름 1/2큰술, 후춧가루 약간",한식,140kcal
948,콩자반,조림,콩 2컵,"설탕 1/2컵, 간장 1컵, 깨소금 약간, 물 1컵, 참기름 약간",,한식,55kcal
949,호박선,조림,"애호박 1개, 쇠고기(홍두깨) 50g, 계란 1개, 당근 1/4개, 표고버섯 2개","대파 1/2뿌리, 생강 1/2개, 간장 1/2큰술, 마늘 2톨, 후춧가루 약간","간장 1큰술, 다진마늘 1/2작은술, 물엿 1/2작은술, 설탕 1/2작은술, 후춧가루 약간, 깨소금 약간",한식,183kcal
950,홍합초,조림,홍합 600g,"대파 1뿌리, 마늘 4쪽, 잣가루 약간","술 1큰술, 설탕 1큰술, 진간장 3큰술, 후춧가루 조금, 녹말가루 1큰술, 참기름 1큰슐",한식,130kcal
951,갈비구이,구이,갈비 1.2kg,"상추 약간, 깻잎 약간","배즙 4큰술, 양파즙 2큰술, 물엿 2큰술, 설탕 2큰술, 통깨 약간, 참기름 약간, 후춧가루 약간, 청주 2큰술, 간장 1/4컵, 육수 1/4컵, 대파 1/2뿌리, 마늘 3쪽, 양파 1/2개, 생강즙 1작은술, 월계수잎 3장",한식,324kcal
952,고추장오징어순대구이,구이,오징어 1마리,"밥 1공기, 피자치즈 30g, 호박 1/3개, 양파 1/3개, 깻잎 10장, 당근 1/4개, 녹말가루 약간","고추장 1큰술, 간장 1작은술, 설탕 1작은술, 참기름 약간, 깨소금 약간, 소금 약간, 후추 약간",한식,315kcal
953,꽁치깻잎말이구이,구이,"꽁치 2마리, 깻잎 8장","매실장아찌 3개, 기름 약간, 이쑤시개 약간",,한식,220kcal
954,너비아니구이,구이,쇠고기(안심) 1200g,"간장 10큰술, 배즙 6큰술, 다진파 4큰술, 설탕 4큰술, 참기름 조금, 깨소금 조금, 꿀 2큰술, 생강즙 2큰술, 다진마늘 3큰술, 후춧가루 약간",,한식,520kcal
955,더덕구이,구이,더덕 200g,"물 2큰술, 깨소금 1작은술","간장 1큰술, 참기름 1작은술, 고추장 2큰술, 설탕 1큰술, 고춧가루 1/2큰술, 다진파(다진것) 1큰술, 다진마늘(다진것) 1작은술, 설탕 1큰술",한식,45kcal
956,등심구이,구이,쇠고기(등심) 600g,"표고버섯 5장, 감자 1개, 양파 1개","참기름 3큰술, 소금 약간, 후춧가루 약간",한식,210kcal
957,떡갈비구이,구이,쇠고기(갈비) 300g,"양파 1개, 밀가루 약간","다진파 1큰술, 다진마늘 1/2큰술, 간장 3큰술, 설탕 2큰술, 깨소금 약간, 참기름 1큰술, 후춧가루 1작은술",한식,380kcal
958,떡산적,구이,"가래떡 1가래, 쇠고기(우둔살) 150g, 실파 50g","참기름 1큰술, 간장 1작은술, 꼬치(산적꽂을꼬치)","간장 1큰술, 다진파 1큰술, 설탕 1/2큰술, 다진마늘 1작은술, 참기름 1작은술, 깨소금 1작은술, 후춧가루 1/3작은술",한식,250kcal
959,불고기찹쌀구이,구이,"쇠고기 200g, 찹쌀가루 1/2컵, 겨자 2큰술, 식초 2큰술, 설탕 2큰술",기름 1/4컵,"간장 2큰술, 후춧가루 약간, 참기름 약간",한식,268kcal
960,새송이쌈장구이,구이,새송이버섯 4개,"올리브오일 1큰술, 양파 1/2개, 표고버섯 2장, 피망 1/2개, 마늘 5톨","청정원순창쌈장 2큰술, 물 2큰술, 쪽파 2뿌리, 다진마늘 1작은술, 간장 1작은술, 청주 1작은술, 설탕 1/3작은술, 홍고추 1/2개, 참기름 약간, 청고추 1/2개",한식,85kcal
961,서양식가자미구이와발사믹소스,구이,가자미(냉동) 400g,"소금 약간, 후춧가루 약간, 버터 약간, 감자 1개, 당근 1개, 베이컨 1장, 다진파슬리 약간, 소금 약간","레드와인 1과1/2컵, 발사믹식초 1/4컵, 버터 40g, 녹말 1큰술, 물 1큰술, 후춧가루 약간, 소금 약간",한식,148kcal
962,송이산적,구이,"송이버섯 5장, 쇠고기 200g","소금 약간, 참기름 약간, 진간장 2큰술, 다진파 1큰술, 다진마늘 1/2큰술, 설탕 1작은술, 후춧가루 약간, 깨소금 약간",,한식,130kcal
963,쇠고기떡말이,구이,"쇠고기(불고기) 200g, 떡볶이떡 10개","겨자 약간, 다시간장 2큰술, 잣가루 1작은술","굴소스 2큰술, 간장 1작은술, 꿀 1작은술, 배 1/4쪽, 양파 1/4개, 다진마늘 1큰술, 참기름 2작은술, 청주 2큰술, 참기름 1작은술",한식,162kcal
964,쇠고기채소편채,구이,쇠고기(홍두깨살) 200g,"깻잎 5장, 대파 1/3뿌리, 피망 1/2개, 양파 1/4개, 홍고추 1개, 찹쌀(가루) 약간, 식용유 약간","소금 약간, 후춧가루 약간, 겨자(갠것) 2큰술, 물엿 1/2큰술, 식초 1/2큰술, 잣가루 1큰술, 다진마늘 1작은술, 간장 약간",한식,280kcal
965,오징어산적,구이,"갑오징어 3마리, 피망 4개",꼬치 20개,"고추장 5큰술, 설탕 3큰술, 다진마늘 2큰술, 다진파 3큰술, 생강즙 1작은술, 깨소금 약간, 참기름 약간",한식,190kcal
966,완자꼬치,구이,"새송이버섯 2개, 두부 1/2모, 쇠고기(다진것) 200g, 간장 4큰술","다진 양파(다진것) 1큰술, 다진 대파(다진것) 1큰술, 다진 마늘(다진것) 약간","소금 약간, 후추 약간, 다진마늘(다진것) 1큰술, 설탕 1과1/2큰술, 깨소금 약간씩, 참기름 약간씩",한식,194kcal
967,제육불고기,구이,"돼지고기 600g, 고춧가루 1큰술","고추장 5큰술, 간장 3큰술, 맛술 2큰술, 생강즙 2큰술, 설탕 2큰술, 다진마늘 2큰술, 다진파 3큰술, 깨소금 약간, 후춧가루 약간, 참기름 약간","된장 5큰술, 고추장 2큰술, 다진마늘 2큰술, 다진파 2큰술, 식초 1큰술",한식,210kcal
968,조개관자꼬치구이,구이,조개관자 8개,대파 2뿌리,"간장 2큰술, 다진마늘 1작은술, 생강즙 1/2작은술, 설탕 2/3큰술, 고춧가루 1/2큰술, 파 1큰술, 깨소금 1작은술, 참기름 1작은술",한식,250kcal
969,조기양념장구이,구이,조기 2마리,청정원 참빛고운 카놀라유 약간,"소금 약간, 파 2뿌리, 마늘 2톨, 생강 1/2개, 간장 3큰술, 설탕 1큰술, 후춧가루 약간, 참기름 약간, 고춧가루 2작은술",한식,116kcal
970,향신양념갈비구이,구이,갈비살 600g,"향신즙 1큰술, 후춧가루 1/3작은술, 꿀 1큰술, 향신장 1큰술, 물엿 1큰술, 배(또는 사과) 1/2개, 향신유 1/2큰술, 소금 약간",,한식,175kcal
971,홍합꼬치구이,구이,홍합 100g,"대파 1/2뿌리, 파슬리 약간, 깨소금 1큰술","청주 1큰술, 소금 약간, 고추장 1과1/2큰술, 간장 1과1/2큰술, 물엿 3큰술, 청주 1큰술, 다진마늘 1큰술, 생강즙 1/2큰, 참기름 1큰술",한식,130kcal
972,깐쇼자라,"튀김,커틀릿",자라살 1마리,"튀김가루 약간, 계란 1개, 양파 1/2개, 피망 1/2개, 파프리카 1/2개, 옥수수(통조림) 약간","고춧가루 약간, 케첩 약간, 굴소스 약간, 물엿 약간, 간장 약간, 마늘 약간, 생강가루 약간, 물 약간",한식,113kcal
973,다시마튀각,"튀김,커틀릿",다시마(40cm) 1장,"튀김기름 2컵, 잣 1작은술","통후추 1작은술, 설탕 1큰술",한식,335kcal
974,닭강정,"튀김,커틀릿",닭 1마리,"녹말 4큰술, 깨소금 약간","진간장 4큰술, 마늘 2작은술, 후춧가루 약간, 고추장 2큰술, 물엿 2큰술, 술 3큰술",한식,110kcal
975,닭안심삼색튀김,"튀김,커틀릿",닭(안심) 200g,"샐러리 1대, 당근 1/2개, 콘프레이크 30g, 깻잎 5장, 흑임자 3큰술, 청정원참빛고운카놀라유 약간, 소금 약간, 후춧가루 약간","간장 1큰술, 식초 1큰술, 물 1큰술",한식,320kcal
